Size of Allocation (Bytes),Malloc Workload Userspace (Bytes),Bytearray Workload Userspace (Bytes),Kmalloc Workload Kernelspace (Bytes)
1,4239376,23381813,
2,4239376,23381864,
4,4239376,23381864,
8,4239376,23381864,
16,4239376,23381864,
32,4239376,23381864,278720
64,4239376,23385041,278752
128,4239376,23385041,278816
256,4239376,23394881,278944
512,4239376,23394881,279200
1024,4239376,23394881,279712
2048,4239376,23449463,280736
4096,4239376,23479905,282784
8192,4239376,23540790,286880
16384,4239376,23662560,295072
32768,4239376,23906101,311456
65536,4239376,23916512,344224
131072,4239376,23937336,409760
262144,4505616,23978983,540832
524288,4767760,24062277,802976
1048576,5292048,24228865,1327264
2097152,6340624,24962869,2375840
4194304,8437776,27112449,4472992
8388608,12632080,31516469,
16777216,21020688,39380789,
33554432,37797904,57202485,
67108864,71352336,90756917,
134217728,138461200,157865781,
268435456,272678928,292083509,
536870912,541114384,560781109,
1073741824,1077985296,1073741824,
